Question,Answer,QType
What is (are) Floating-Harbor syndrome ?,"Floating-Harbor syndrome is a genetic disorder that was named for the first two identified patients who were seen at Boston Floating Hospital and Harbor General Hospital in California. The main characteristics of this syndrome are short stature, delayed bone growth, delay in expressive language, and distinct facial features. The exact cause of Floating-Harbor syndrome is not known. Treatment is symptomatic and supportive.",information
What are the symptoms of Laryngeal Cancer ?,Signs and symptoms of laryngeal cancer include a sore throat and ear pain. These and other signs and symptoms may be caused by laryngeal cancer or by other conditions. Check with your doctor if you have any of the following:         - A sore throat or cough that does not go away.    - Trouble or pain when swallowing.    - Ear pain.    - A lump in the neck or throat.    - A change or hoarseness in the voice.,symptoms
What are the treatments for Fibrous dysplasia ?,"How might fibrous dysplasia be treated? Unfortunately, there is no cure for fibrous dysplasia. Treatment depends on the symptoms that develop. Fractures often require surgery, but can sometimes be treated with casting or splints.] Surgery is most appropriate in cases where fractures are likely to occur, or where bones have become misshapen. Surgery may also be used to relieve pain. Medications known as bisphosphonates are also used to relieve bone pain. Other healthy strategies such as physical activity and adequate intake of calcium, phosphorus, and vitamin D are also encouraged.[  Radiation therapy is not recommended for patients with fibrous dysplasia because it is associated with an increased risk of cancerous transformation. Careful, long-term follow-up to monitor fibrous dysplasia is advised.",treatment
What are the treatments for autoimmune lymphoproliferative syndrome ?,"These resources address the diagnosis or management of ALPS:  - Gene Review: Gene Review: Autoimmune Lymphoproliferative Syndrome  - Genetic Testing Registry: Autoimmune lymphoproliferative syndrome  - Genetic Testing Registry: Autoimmune lymphoproliferative syndrome type 1, autosomal recessive  - Genetic Testing Registry: Autoimmune lymphoproliferative syndrome, type 1a  - Genetic Testing Registry: Autoimmune lymphoproliferative syndrome, type 1b  - Genetic Testing Registry: Autoimmune lymphoproliferative syndrome, type 2  - Genetic Testing Registry: RAS-associated autoimmune leukoproliferative disorder  - National Institute of Allergy and Infectious Diseases (NIAID): ALPS Treatment   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",treatment
What is (are) Cataract ?,"The lens is a clear part of the eye that helps to focus light, or an image, on the retina. The retina is the light-sensitive tissue at the back of the eye. In a normal eye, light passes through the transparent lens to the retina. Once it reaches the retina, light is changed into nerve signals that are sent to the brain. The lens must be clear for the retina to receive a sharp image. If the lens is cloudy from a cataract, the image you see will be blurred.",information
What are the treatments for Lactose Intolerance ?,"Many people can manage the symptoms of lactose intolerance by changing their diet. Some people may only need to limit the amount of lactose they eat or drink. Others may need to avoid lactose altogether. Using lactase products can help some people manage their symptoms.
                
For people with secondary lactase deficiency, treating the underlying cause improves lactose tolerance. In infants with developmental lactase deficiency, the ability to digest lactose improves as the infants mature. People with primary and congenital lactase deficiency cannot change their bodys ability to produce lactase.",treatment
What causes Multicentric Castleman Disease ?,"What causes multicentric Castleman disease? The exact underlying cause of multicentric Castleman disease (MCD) is poorly understood. However, some scientists suspect that an increased production of interleukin-6 (IL-6) by the immune system may contribute to the development of MCD. IL-6 is a substance normally produced by cells within the lymph nodes that helps coordinate the immune response to infection. Increased production of IL-6 may result in an overgrowth of lymphatic cells, leading to many of the signs and symptoms of MCD. It has also been found that a virus called human herpes virus type 8 (also known as HHV-8, Kaposi's sarcoma-associated herpesvirus, or KSHV) is present in many people with MCD. HHV-8 is found in nearly all people who are HIV-positive and develop MCD, and in up to 60% of affected people without HIV. The HHV-8 virus may possibly cause MCD by making its own IL-6.",causes
Is Hypophosphatemic rickets inherited ?,"How is hypophosphatemic rickets inherited? Hypophosphatemic rickets is most often inherited in an X-linked dominant manner. This means that the gene responsible for the condition is located on the X chromosome, and having only one mutated copy of the gene is enough to cause the condition. Because males have only one X chromosome (and one Y chromosome) and females have two X chromosomes, X-linked dominant conditions affect males and females differently. Both males and females can have an X-linked dominant condition. However, because males don't have a second, working copy of the gene (as females do), they usually have more severe disease than females. If a father has the mutated X-linked gene: all of his daughters will inherit the mutated gene (they will all receive his X chromosome) none of his sons will inherit the mutated gene (they only inherit his Y chromosome) If a mother has the mutated X-linked gene, each of her children (both male and female) has a 50% chance to inherit the mutated gene. Less commonly, hypophosphatemic rickets is inherited in an X-linked recessive, autosomal dominant, or autosomal recessive manner.",inheritance
Who is at risk for Small Intestine Cancer? ?,Diet and health history can affect the risk of developing small intestine cancer. Anything that increases your risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesn't mean that you will not get cancer. Talk with your doctor if you think you may be at risk. Risk factors for small intestine cancer include the following:         - Eating a high-fat diet.    - Having Crohn disease.     - Having celiac disease.    -  Having familial adenomatous polyposis (FAP).,susceptibility
How to diagnose Gerstmann-Straussler-Scheinker disease ?,"How is Gerstmann-Straussler-Scheinker disease diagnosed? The diagnosis of Gerstmann-Straussler-Scheinker disease (GSS) is based on a combination of the following: Characteristic signs and symptoms Nervous system findings including multiple amyloid plaques (clumps which form in the brain and cause the death of nerve cells and the progressive symptoms of the disease) A family history consistent with autosomal dominant inheritance Identification of a disease-causing mutation of the PRNP gene Genetic testing for at-risk relatives who do not yet have symptoms of GSS is possible if the disease-causing mutation in the family is known. This testing is not useful in predicting age of onset, severity, type of symptoms, or rate of progression. Testing for the disease-causing mutation in the absence of definite symptoms of the disease is called predictive testing.",exams and tests
